Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Pineapple,Fresh fruits,3.2–4.0,85–88%,7–10°C,Medium,Medium,High,Medium,2–4 weeks,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Banana,Fresh fruits,4.5–5.2,70–75%,13–14°C,High,High,High,Medium,2–4 weeks,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Plantain,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Avocado,Fresh fruits,6.0–6.6,70–75%,5–13°C*,Medium,Medium–High,High,Medium,2–8 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Guava,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Feijoa,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Passion fruit,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Dragon fruit,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Kiwi,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Persimmon,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Pomegranate,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Fig,Fresh fruits,4.5–5.5,75–80%,-1–0°C,Low–Medium,Medium,High,Medium,1–2 weeks,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Date fresh,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Jujube,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Loquat,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Lychee,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Longan,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Rambutan,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Mangosteen,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Durian,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Jackfruit,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Breadfruit,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Sapodilla,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Custard apple,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Soursop,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Cherimoya,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Atemoya,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Star fruit,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Tamarind pod,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Bael,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Wood apple,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Rose apple,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Watermelon,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Cantaloupe,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Honeydew melon,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Galia melon,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Canary melon,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Cranberry,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Blueberry,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Raspberry,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Blackberry,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Strawberry,Fresh fruits,3.0–3.9,90–92%,0±0.5°C,Very high,High,Very high,Medium,5–10 days,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Gooseberry,Fresh fruits,3.0–6.5,75–95%,0–13°C*,Medium–High,Medium–High,High,Medium,1–12 weeks*,Ventilated food-grade carton/crate with perforated liner,Reduces bruising and water loss while allowing cooling and respiration.,"Harvest at appropriate maturity, remove damaged fruit, pre-cool when appropriate and maintain the commodity-specific cold chain.",
Chickpea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Kabuli chickpea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Desi chickpea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Lentil,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Red lentil,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Green lentil,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Brown lentil,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Black lentil,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Yellow lentil,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Split pea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Green split pea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Yellow split pea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Pigeon pea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Toor dal,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Black gram,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Urad dal,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Green gram,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Mung bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Adzuki bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Kidney bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Red kidney bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Black bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Navy bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Pinto bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Cannellini bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Great Northern bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Lima bean dry,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Moth bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Horse gram,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Cowpea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Black-eyed pea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Bambara groundnut,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Peanut,Legumes & pulses,6.0–7.0,5–10%,10–20°C,Low,High,High,Medium,3–12 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Soybean,Legumes & pulses,6.0–7.0,8–12%,10–20°C,Low,High,High,Medium,6–12 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Edamame dry,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Fava bean dry,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Broad bean dry,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Hyacinth bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Jack bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Winged bean seed,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Velvet bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Lablab bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Tepary bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Cranberry bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Anasazi bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Flageolet bean,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Navy pea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Marrowfat pea,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Lupin,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Lupin seed,Legumes & pulses,5.5–7.0,8–16%,10–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,"Dry thoroughly before storage, use clean hermetic packaging and protect from insects and condensation.",
Almond,Nuts & oilseeds,5.0–6.5,4–8%,0–10°C,Low,High,High,High,6–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Cashew,Nuts & oilseeds,5.0–6.5,3–5%,0–10°C,Low,High,High,High,6–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Walnut,Nuts & oilseeds,5.0–6.5,3–7%,-18–0°C for long-term*,Low,Very high,High,High,6–24 months*,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
